Date,Open,High,Low,Close,Volume
1/2/2019 16:00:00,200.5,205.1,199.85,204.76,2143091
1/3/2019 16:00:00,203.7,205.94,200.04,200.42,2877745
1/4/2019 16:00:00,203.08,207.93,201.45,206.24,2761611
1/7/2019 16:00:00,205.52,209.12,203.54,207,2226738
1/8/2019 16:00:00,208.65,209.08,204.18,208.55,2366493
1/9/2019 16:00:00,209.15,211.22,207.92,209.9,1862926
1/10/2019 16:00:00,208.15,210.9,206,210.64,2340657
1/11/2019 16:00:00,210.04,211.25,209.31,210.51,1861225
1/14/2019 16:00:00,209.47,210.65,208.16,209,1523315
1/15/2019 16:00:00,210.04,211.34,209.08,211.03,1681846
1/16/2019 16:00:00,211.46,211.46,209.5,210.18,1455042
1/17/2019 16:00:00,209.87,211.65,209.65,211.46,1517058
1/18/2019 16:00:00,212.56,214.16,211.77,213.59,2115355
1/22/2019 16:00:00,213,215.56,210.8,212.4,3310793
1/23/2019 16:00:00,213,214.85,210,212.09,2220161
1/24/2019 16:00:00,212.39,212.39,208.9,210.31,1994413
1/25/2019 16:00:00,212.03,212.32,208.74,209.07,2252889
1/28/2019 16:00:00,208.68,210.79,207.31,210.77,1999432
1/29/2019 16:00:00,210.32,210.54,208.57,210.31,1636487
1/30/2019 16:00:00,210.48,212.17,209.32,211.35,1590026
1/31/2019 16:00:00,211.14,214.88,209.72,214.63,4341129
2/1/2019 16:00:00,214,215,209.37,210.27,3453857
2/4/2019 16:00:00,210.7,211.19,207.9,211.18,1630281
2/5/2019 16:00:00,211.49,212.52,209.64,211.61,2074517
2/6/2019 16:00:00,212.26,212.26,210.48,211.6,1618762
2/7/2019 16:00:00,210.07,210.1,206.27,209.05,2526625
2/8/2019 16:00:00,207.83,208.49,205.75,207.75,2013683
2/11/2019 16:00:00,208.65,208.92,206.76,208.72,2376584
2/12/2019 16:00:00,210.06,212.75,209.26,211.9,2091247
2/13/2019 16:00:00,212.23,213.51,211.3,212.8,1703041
2/14/2019 16:00:00,212,214.55,211.14,213.84,1411054
2/15/2019 16:00:00,215.15,217.25,214.04,216.47,2635500
2/19/2019 16:00:00,216.67,219.6,216.51,218.12,1938119
2/20/2019 16:00:00,218.23,219.07,215.06,217.11,1785610
2/21/2019 16:00:00,216.6,216.72,214.33,215.23,1615527
2/22/2019 16:00:00,215.17,216.59,214.25,216.29,1542501
2/25/2019 16:00:00,217.37,219.09,216.55,217.05,1794018
2/26/2019 16:00:00,216.89,218.91,216.13,217.61,1884099
2/27/2019 16:00:00,216.51,218.86,216.45,218.05,1482708
2/28/2019 16:00:00,218.49,219.69,217.52,218.74,2055597
3/1/2019 16:00:00,219.76,220.57,215.77,219.44,2178555
3/4/2019 16:00:00,220.43,221.08,215.87,218.41,2444661
3/5/2019 16:00:00,218.91,221.61,218.9,219.82,2160246
3/6/2019 16:00:00,220.5,221.91,218.23,219.23,1985311
3/7/2019 16:00:00,218.13,219.39,216.22,216.79,3279102
3/8/2019 16:00:00,225.48,228.7,223.77,227.82,6782749
3/11/2019 16:00:00,227.53,229.91,227.06,229.69,3748431
3/12/2019 16:00:00,230.32,233.4,229.9,232.96,2647259
3/13/2019 16:00:00,234.25,237.45,232.95,236.38,2421178
3/14/2019 16:00:00,236.13,236.38,233.28,233.84,2300252
3/15/2019 16:00:00,234.17,235.65,233.18,233.6,5073781
3/18/2019 16:00:00,233.58,236.68,233.49,236.59,1735414
3/19/2019 16:00:00,237.52,238.05,236.29,237.05,1852346
3/20/2019 16:00:00,237.03,238.49,235.78,236.98,1499470
3/21/2019 16:00:00,236.68,239.85,236.55,239.54,1617047
3/22/2019 16:00:00,239.75,240.34,236.9,237.56,1873609
3/25/2019 16:00:00,236.93,238.08,235.79,236.97,1357121
3/26/2019 16:00:00,238,240.25,237.36,239.07,1193004
3/27/2019 16:00:00,238.71,240.21,238.16,239.41,1351237
3/28/2019 16:00:00,239.98,241.95,239.58,241.22,1396657
3/29/2019 16:00:00,241.66,242.44,240.77,242.14,1967964
4/1/2019 16:00:00,243.07,244.41,242.58,244.19,1610207
4/2/2019 16:00:00,244,244.19,240.31,240.5,1574327
4/3/2019 16:00:00,241.69,243.55,241.02,242.48,1663865
4/4/2019 16:00:00,242.17,244.76,241.25,244.4,1320012
4/5/2019 16:00:00,244.96,247.09,244.01,245.87,1616207
4/8/2019 16:00:00,245.99,246.83,245.2,246.52,1244150
4/9/2019 16:00:00,245.11,245.68,244.01,244.91,1450175
4/10/2019 16:00:00,245.28,246.67,244.71,245.61,1556647
4/11/2019 16:00:00,243.62,244.18,240.92,241.24,2719985
4/12/2019 16:00:00,241.51,242.72,240.9,241.95,2187612
4/15/2019 16:00:00,242.37,246.75,241.96,246.33,1859679
4/16/2019 16:00:00,246.65,246.82,244.25,245.34,1360535
4/17/2019 16:00:00,246.3,246.46,244.32,245.56,1363036
4/18/2019 16:00:00,246.79,247.25,244.7,245.81,1365116
4/22/2019 16:00:00,245.19,245.77,242.56,243.42,1300078
4/23/2019 16:00:00,244.65,246.53,242.21,245.58,1524628
4/24/2019 16:00:00,245.68,248.7,245.6,247.96,1156425
4/25/2019 16:00:00,246.21,247.15,243.94,245.6,1278195
4/26/2019 16:00:00,245.62,245.89,242.06,243.82,1842939
4/29/2019 16:00:00,245,245.75,243.49,244.28,1429707
4/30/2019 16:00:00,244.77,245.79,243.02,245.53,1427578
5/1/2019 16:00:00,245.34,245.46,241.55,241.59,1350376
5/2/2019 16:00:00,241.76,242.89,240.42,242.69,1237645
5/3/2019 16:00:00,243.27,244.88,242.72,244.62,905868
5/6/2019 16:00:00,242.85,244.83,242.06,244.23,1195175
5/7/2019 16:00:00,241.72,242.74,238.22,240.18,1775187
5/8/2019 16:00:00,239.56,243.05,238.19,241.34,1611887
5/9/2019 16:00:00,240.66,244.06,240.16,243.47,1919368
5/10/2019 16:00:00,242.94,248.55,240.03,247.02,2036492
5/13/2019 16:00:00,244.12,244.93,240.67,241.92,1962786
5/14/2019 16:00:00,242.29,245.09,241.81,242.73,1635179
5/15/2019 16:00:00,242.11,245.4,241.23,244.67,1194788
5/16/2019 16:00:00,245.63,249.73,245.21,247.44,1801038
5/17/2019 16:00:00,245.88,250.05,245.59,248.35,1672148
5/20/2019 16:00:00,247.15,249.94,247.15,248.9,1600493
5/21/2019 16:00:00,249.11,250.83,248.1,249.93,1504191
5/22/2019 16:00:00,251.01,251.01,249.14,249.51,1242294
5/23/2019 16:00:00,248.63,249.92,247.18,248.53,1822807
5/24/2019 16:00:00,249.11,249.56,246.77,247.3,1340428
5/28/2019 16:00:00,248.58,250.2,246.14,246.31,3164140
5/29/2019 16:00:00,244.13,244.77,238.91,240.69,2594886
5/30/2019 16:00:00,242.15,243.58,240.75,241.54,2030255
5/31/2019 16:00:00,238.98,240.66,233.05,239.58,4058490
6/3/2019 16:00:00,239.78,241.54,238.08,241.07,2512452
6/4/2019 16:00:00,243,245.82,242.5,245.61,1761622
6/5/2019 16:00:00,246.1,248.76,245.02,247.96,1825514
6/6/2019 16:00:00,248,251.94,247.74,251.21,1487759
6/7/2019 16:00:00,251.16,256.6,251.02,256.01,2270617
6/10/2019 16:00:00,256.4,258.83,256.11,256.85,1839825
6/11/2019 16:00:00,258.91,259.62,256.21,257.11,1613472
6/12/2019 16:00:00,257.58,258.75,255.77,257.23,1071667
6/13/2019 16:00:00,257.71,259.87,257.55,259.71,1228541
6/14/2019 16:00:00,260,261.2,258.91,260.15,1288089
6/17/2019 16:00:00,261.13,262.25,260.43,261.43,1192307
6/18/2019 16:00:00,263.61,264.2,262.05,262.74,2763187
6/19/2019 16:00:00,262.31,264.1,260.94,263.66,1628489
6/20/2019 16:00:00,265,267.79,264.55,267.35,1745108
6/21/2019 16:00:00,266.77,268.94,265.99,266.13,2964243
6/24/2019 16:00:00,267.31,267.97,266.52,266.77,1586110
6/25/2019 16:00:00,266.71,267.08,265.36,266.36,1182443
6/26/2019 16:00:00,266.45,266.82,264.34,264.41,1334353
6/27/2019 16:00:00,264.9,266.48,262.99,265.58,1122854
6/28/2019 16:00:00,265.5,266.39,263.36,264.26,1952692
7/1/2019 16:00:00,266.43,267,261.84,263.55,1960377
7/2/2019 16:00:00,263.92,265.57,261.67,265.47,1201390
7/3/2019 13:00:00,265.14,269.16,265.14,269.14,986472
7/5/2019 16:00:00,268.2,268.61,266.27,268.25,1081451
7/8/2019 16:00:00,268.33,269.69,267.35,269.4,1236007
7/9/2019 16:00:00,269.36,270.78,268.49,269.97,1400472
7/10/2019 16:00:00,270.05,271.53,269.34,271.42,1256976
7/11/2019 16:00:00,272.33,276.77,271.81,276.54,1985628
7/12/2019 16:00:00,276.5,280,276.01,279.44,2046480
7/15/2019 16:00:00,279.94,280.7,278.9,280.58,1568031
7/16/2019 16:00:00,281,281.37,279.78,280.65,1379215
7/17/2019 16:00:00,281.05,282.85,280.22,281.56,1716730
7/18/2019 16:00:00,282.2,283.06,279.19,282.91,1696366
7/19/2019 16:00:00,283.07,284.31,281.35,281.51,1607618
7/22/2019 16:00:00,281.22,282.32,279.32,280.17,1461682
7/23/2019 16:00:00,281.85,282.08,279.02,280.1,1117826
7/24/2019 16:00:00,279.83,281.24,279.01,280.83,1257368
7/25/2019 16:00:00,281.2,281.94,279.34,279.8,1600168
7/26/2019 16:00:00,279.8,281.77,279.12,281.37,1447719
7/29/2019 16:00:00,281.01,281.3,279.54,280.13,1257360
7/30/2019 16:00:00,280.27,280.57,279.1,279.5,978168
7/31/2019 16:00:00,279.02,279.72,272.63,275.63,1886852
8/1/2019 16:00:00,275.75,280.93,274.31,274.57,2634609
8/2/2019 16:00:00,274.3,274.94,270.5,272.5,1969165
8/5/2019 16:00:00,270.09,270.55,262.71,265.1,3329760
8/6/2019 16:00:00,266.47,270.23,264.05,269.31,2383225
8/7/2019 16:00:00,268.18,274.86,263.59,274.3,3037469
8/8/2019 16:00:00,273.04,274.84,271,274.8,2046674
8/9/2019 16:00:00,274.58,275.47,271.91,273.94,1284267
8/12/2019 16:00:00,274.03,274.98,269.3,271.31,1638619
8/13/2019 16:00:00,271.18,278.16,270.01,276.26,1743336
8/14/2019 16:00:00,274,275.36,268,268.15,2122137
8/15/2019 16:00:00,270.53,272.97,268.77,271.52,1651115
8/16/2019 16:00:00,274.1,276.07,273.44,274.1,1278604
8/19/2019 16:00:00,276.41,277.38,274.55,275.61,1314844
8/20/2019 16:00:00,276.28,276.36,272.85,272.97,1390900
8/21/2019 16:00:00,275.41,276.54,274.7,275.68,1682347
8/22/2019 16:00:00,277.01,280.99,276.87,279.92,2345701
8/23/2019 16:00:00,278.21,280.13,272.7,274.01,1984929
8/26/2019 16:00:00,275.75,278.53,275.69,278.46,1426519
8/27/2019 16:00:00,281,293.44,280.34,292.38,5176415
8/28/2019 16:00:00,293.75,299.95,292.42,294.49,5165054
