Date,Open,High,Low,Close,Volume
1/2/2019 16:00:00,1016.57,1052.32,1015.71,1045.85,1532608
1/3/2019 16:00:00,1041,1056.98,1014.07,1016.06,1841066
1/4/2019 16:00:00,1032.59,1070.84,1027.42,1070.71,2093894
1/7/2019 16:00:00,1071.5,1074,1054.76,1068.39,1981874
1/8/2019 16:00:00,1076.11,1084.56,1060.53,1076.28,1765267
1/9/2019 16:00:00,1081.65,1082.63,1066.4,1074.66,1199272
1/10/2019 16:00:00,1067.66,1071.15,1057.71,1070.33,1456421
1/11/2019 16:00:00,1063.18,1063.78,1048.48,1057.19,1520756
1/14/2019 16:00:00,1046.92,1051.53,1041.26,1044.69,1144263
1/15/2019 16:00:00,1050.17,1080.05,1047.34,1077.15,1463570
1/16/2019 16:00:00,1080,1092.38,1079.34,1080.97,1331819
1/17/2019 16:00:00,1079.47,1091.8,1073.5,1089.9,1242664
1/18/2019 16:00:00,1100,1108.35,1090.9,1098.26,1955559
1/22/2019 16:00:00,1088,1091.51,1063.47,1070.52,1613527
1/23/2019 16:00:00,1077.35,1084.93,1059.75,1075.57,966956
1/24/2019 16:00:00,1076.48,1079.47,1060.7,1073.9,1361673
1/25/2019 16:00:00,1085,1094,1081.82,1090.99,1119216
1/28/2019 16:00:00,1080.11,1083,1063.8,1070.08,1284281
1/29/2019 16:00:00,1072.68,1075.15,1055.86,1060.62,1021819
1/30/2019 16:00:00,1068.43,1091,1066.85,1089.06,1279822
1/31/2019 16:00:00,1103,1117.33,1095.41,1116.37,1538324
2/1/2019 16:00:00,1112.4,1125,1104.89,1110.75,1462208
2/4/2019 16:00:00,1112.66,1132.8,1109.02,1132.8,2576470
2/5/2019 16:00:00,1124.84,1146.85,1117.25,1145.99,3552194
2/6/2019 16:00:00,1139.57,1147,1112.77,1115.23,2105592
2/7/2019 16:00:00,1104.16,1104.84,1086,1098.71,2044827
2/8/2019 16:00:00,1087,1098.91,1086.55,1095.06,1075769
2/11/2019 16:00:00,1096.95,1105.95,1092.86,1095.01,1065194
2/12/2019 16:00:00,1106.8,1125.3,1105.85,1121.37,1609513
2/13/2019 16:00:00,1124.99,1134.73,1118.5,1120.16,1049781
2/14/2019 16:00:00,1118.05,1128.23,1110.45,1121.67,947632
2/15/2019 16:00:00,1130.08,1131.67,1110.65,1113.65,1449830
2/19/2019 16:00:00,1110,1121.89,1110,1118.56,1046628
2/20/2019 16:00:00,1119.99,1123.41,1105.28,1113.8,1087817
2/21/2019 16:00:00,1110.84,1111.94,1092.52,1096.97,1415473
2/22/2019 16:00:00,1100.9,1111.24,1095.6,1110.37,1049545
2/25/2019 16:00:00,1116,1118.54,1107.27,1109.4,1413061
2/26/2019 16:00:00,1105.75,1119.51,1099.92,1115.13,1471743
2/27/2019 16:00:00,1106.95,1117.98,1101,1116.05,968760
2/28/2019 16:00:00,1111.3,1127.65,1111.01,1119.92,1542609
3/1/2019 16:00:00,1124.9,1142.97,1124.75,1140.99,1450316
3/4/2019 16:00:00,1146.99,1158.28,1130.69,1147.8,1446047
3/5/2019 16:00:00,1150.06,1169.61,1146.2,1162.03,1443174
3/6/2019 16:00:00,1162.49,1167.57,1155.49,1157.86,1099289
3/7/2019 16:00:00,1155.72,1156.76,1134.91,1143.3,1166559
3/8/2019 16:00:00,1126.73,1147.08,1123.3,1142.32,1212489
3/11/2019 16:00:00,1144.45,1176.19,1144.45,1175.76,1719192
3/12/2019 16:00:00,1178.26,1200,1178.26,1193.2,2013115
3/13/2019 16:00:00,1200.65,1200.93,1191.94,1193.32,1435936
3/14/2019 16:00:00,1194.51,1197.88,1184.48,1185.55,1172815
3/15/2019 16:00:00,1193.38,1196.57,1182.61,1184.46,2459957
3/18/2019 16:00:00,1183.3,1190,1177.42,1184.26,1292633
3/19/2019 16:00:00,1188.81,1200,1185.87,1198.85,1520688
3/20/2019 16:00:00,1197.35,1227.14,1196.17,1223.97,2227786
3/21/2019 16:00:00,1216,1231.79,1213.15,1231.54,1204045
3/22/2019 16:00:00,1226.32,1230,1202.83,1205.5,1714247
3/25/2019 16:00:00,1196.93,1206.4,1187.04,1193,1496843
3/26/2019 16:00:00,1198.53,1202.83,1176.72,1184.62,1901156
3/27/2019 16:00:00,1185.5,1187.56,1159.37,1173.02,1400240
3/28/2019 16:00:00,1171.54,1171.57,1159.43,1168.49,1012430
3/29/2019 16:00:00,1174.9,1178.99,1162.88,1173.31,1269979
4/1/2019 16:00:00,1184.1,1196.66,1182,1194.43,1252757
4/2/2019 16:00:00,1195.32,1201.35,1185.71,1200.49,827973
4/3/2019 16:00:00,1207.48,1216.3,1200.5,1205.92,1017838
4/4/2019 16:00:00,1205.94,1215.67,1204.13,1215,950747
4/5/2019 16:00:00,1214.99,1216.22,1205.03,1207.15,907152
4/8/2019 16:00:00,1207.89,1208.69,1199.86,1203.84,860363
4/9/2019 16:00:00,1196,1202.29,1193.08,1197.25,876381
4/10/2019 16:00:00,1200.68,1203.79,1196.44,1202.16,724643
4/11/2019 16:00:00,1203.96,1207.96,1200.13,1204.62,710231
4/12/2019 16:00:00,1210,1218.35,1208.11,1217.87,933794
4/15/2019 16:00:00,1218,1224.2,1209.11,1221.1,1187519
4/16/2019 16:00:00,1225,1230.82,1220.12,1227.13,856304
4/17/2019 16:00:00,1233,1240.56,1227.82,1236.34,1221930
4/18/2019 16:00:00,1239.18,1242,1234.61,1236.37,1331823
4/22/2019 16:00:00,1235.99,1249.09,1228.31,1248.84,807334
4/23/2019 16:00:00,1250.69,1269,1246.38,1264.55,1319910
4/24/2019 16:00:00,1264.12,1268.01,1255,1256,1018753
4/25/2019 16:00:00,1264.77,1267.41,1252.03,1263.45,1107295
4/26/2019 16:00:00,1269,1273.07,1260.32,1272.18,1241428
4/29/2019 16:00:00,1274,1289.27,1266.29,1287.58,2499432
4/30/2019 16:00:00,1185,1192.81,1175,1188.48,6207027
